headline,place,link,author,tag,time
Added Democratic ranks pose threat to Trump governing agenda,MEXICO CITY ,https://apnews.com/840b15b3384a4ab399fcb22b3d65589f,By MESFIN FEKADU,Jimmy Cliff,"November 7, 2018"
"APNewsBreak: Elliott, Hynde and Gill up for Songwriters Hall",The Central Americans were more concerned with the dangers of northern Mexico as they struggled to reach the U.S. ...,https://apnews.com/e88c914572824a9dadd4d080a459f6cb,By JUANA SUMMERS and GEOFF MULVIHILL,AP Top News,"November 7, 2018"
Divisive Trump era ushers record number of women into House,WASHINGTON ,https://apnews.com/3dacb36df89c4680938405fbf6a3bda9,By JULIE PACE,Donald Trump,"November 7, 2018"
AP Analysis: Trump is the fault line of widening divide,SAN FRANCISCO ,https://apnews.com/65d228dee0144700b0d35dc62932fc1d,By DAVID CRARY,AP Top News,"November 7, 2018"
Massachusetts backs transgender rights; Michigan OKs pot use,WASHINGTON ,https://apnews.com/9e06ae1d2f1b4571b2dd717ed0e311b5,By DAVID A. LIEB,AP Top News,"November 7, 2018"
"Democrats gain governors’ seats, but GOP holds some states","Thirty-eight percent of voters cast their ballots to express opposition to the president, according ...",https://apnews.com/263896e7421946b09d7dcf670a15c606,By BRENDAN FARRINGTON and GARY FINEOUT,AP Top News,"November 7, 2018"
GOP’s DeSantis defeats Gillum in Florida governor’s race,ATLANTA ,https://apnews.com/c322a6093b4245f19d89a9b69b8e5f32,"By JOSEPH PISANI, DAVID KLEPPER and ALAN SUDERMAN",AP Top News,"November 6, 2018"
Fox News doesn’t condone Hannity appearance with Trump,County officials will appoint a Republican to take Hof’s place in the state ...,https://apnews.com/720d930f6871420882d03eb94468297d,By MARK SCHIEFELBEIN,Bill Gates,"November 6, 2018"
More protection: UN says Earth’s ozone layer is healing,Sessions announced his plan to resign in ...,https://apnews.com/3934cbfdddd546de9369508a691bf186,By MARK STEVENSON and AMY GUTHRIE,AP Top News,"November 5, 2018"
The Latest: Trump says Democrats have a ‘wrecking ball’,"AP’s VoteCast survey of more than 115,000 voters paints a ...",https://apnews.com/a9546f6221a64a15a2fd40d07907044f,By CALVIN WOODWARD and HOPE YEN,AP Top News,"November 3, 2018"
Marine combat veteran kills 12 in rampage at California bar,"THOUSAND OAKS, Calif. ",https://apnews.com/02bebe042ba94f68b510b918d9fb6d04,By KATHLEEN RONAYNE and JUSTIN PRITCHARD,Los Angeles,"November 9, 2018"
California bar gunman went from a Marine to living with mom,"THOUSAND OAKS, Calif. ",https://apnews.com/e699590c6663475ab4f5ebc8a61bd47b,"By JONATHAN J. COOPER, AMY TAXIN and REBECCA BOONE",AP Top News,"November 9, 2018"
"Navy veteran, art student, bouncer killed in bar attack","MOUNT KUMGANG, North Korea ",https://apnews.com/4751ffc09abd4030a551e0a9f4cc796e,By ERIC TALMADGE,Mountains,"November 9, 2018"
Kim’s wooing of investors and slow-walk on nukes bares rift,MEXICO CITY ,https://apnews.com/1c77aaf32f7c4027bbf0e10f744af75e,By MARIA VERZA and CHRISTOPHER SHERMAN,AP Top News,"November 9, 2018"
Central American migrants in Mexico want buses to US border,"About 200 migrants, representing the roughly 5,000 staying in a ...",https://apnews.com/5aa41068747f4e41b39947f761462f96,By ASHRAF KHALIL,Entertainment,"November 9, 2018"
Protesters target home of Fox News’ Tucker Carlson,WASHINGTON ,https://apnews.com/fa5047f8b2934682bc2ea846a505a081,By SUDHIN THANAWALA,Caribbean,"November 9, 2018"
Appeals court rules against Trump on DACA immigrant policy,"Carlson, in a ...",https://apnews.com/90bf71450a134b638502ad7564a8271d,By BILL BARROW and KATE BRUMBACK,Stacey Abrams,"November 9, 2018"
"Georgia’s Kemp says he’s governor-elect, Abrams fights on",SAN FRANCISCO ,https://apnews.com/1c7d0ad80d7a478fbfa306751251da82,,Shootings,"November 9, 2018"
The Latest: Neighbor: Shooter was strange before military,A three-judge panel of the 9th U.S. ...,https://apnews.com/62166b2636324326b80359f1023aab89,By JOHN ROGERS,AP Top News,"November 9, 2018"
"Heroes rushed into gunfire, pulled people to safety at bar",ATLANTA ,https://apnews.com/3a225c446ed341f69a78b010680e723e,By MATTHEW DALY,AP Top News,"November 8, 2018"
Democrats vow action on gun control after Calif. shooting,"Kemp made his announcement in the governor’s office of the Georgia Capitol, standing beside the man he plans ...",https://apnews.com/31329feb04b14d4d8203f4424ecaee2e,By JOHN HANNA,AP Top News,"November 8, 2018"
"After Kansas loss, Kobach could join Trump administration","THOUSAND OAKS, Calif. ",https://apnews.com/a42b3eb18ef842d29d4772ee4922c731,"By ERIC TUCKER, JONATHAN LEMIRE and CHAD DAY",AP Top News,"November 8, 2018"
Indictments? Final report? White House braces for Mueller,4:45 p.m.,https://apnews.com/5cb91423ce954e1d8520eba25fc9262a,By MARK SHERMAN,Ruth Bader Ginsburg,"November 8, 2018"
Justice Ginsburg in hospital after fracturing 3 ribs in fall,"Julie Hanson, who lives with her husband next door to the home of shooter Ian Long shared with his mother, says she always found Long odd ...",https://apnews.com/97a50539272942bd9306a5937dc81cfb,By MARGARET STAFFORD,Weather,"November 8, 2018"
Missouri tour boat captain indicted after sinking kills 17,College students out for a good time and a veteran lawman on patrol became heroes during a shooting at a country music bar by pulling people to safety and rushing into the gunfire.,https://apnews.com/ce0508e3649b402aa2540bfa46712733,By EDDIE PELLS,Olympic Games,"November 8, 2018"
APNewsBreak: Govt Olympic funds not usable for abuse probes,"Many of the scores of young people regularly went to Borderline Bar & Grill in Thousand Oaks, California, ...",https://apnews.com/482b434e8fd343d2978f1193e84eeda8,By DAVID CRARY,Houston,"November 8, 2018"
"LGBT triumphs: 2 governorships, at least 9 seats in Congress",WASHINGTON ,https://apnews.com/3857beb3d6b543cda2343c0d84947110,By LAURIE KELLMAN and ERIC TUCKER,AP Top News,"November 8, 2018"
Acting AG Whitaker has thoughts on Mueller’s Russia probe,Measures including expanded background checks and a ban on assault-style weapons are likely ...,https://apnews.com/2b4c621fde3f465e8772cef94078f973,By TOM KRISHER,AP Top News,"November 8, 2018"
New Tesla chairwoman’s biggest challenge is controlling Musk,"TOPEKA, Kan. ",https://apnews.com/3406ef497291402d93e46a6b08979f3a,,Stacey Abrams,"November 8, 2018"
The Latest: Abrams campaign says it will fight on,WASHINGTON ,https://apnews.com/1fa30471966c41efac92767a824061c5,By RAF CASERT,AP Top News,"November 8, 2018"
"In the final hours of World War I, a terrible toll",WASHINGTON ,https://apnews.com/973e9c328a5644b78a20c154aff0b45d,,AP Top News,"November 8, 2018"
Rockefeller Christmas tree cut down at upstate NY home,"The court’s oldest justice fell Wednesday evening, the court said. She called Supreme Court police to ...",https://apnews.com/062385e29f304a2083d5fc0f6dbec8d2,By MICHAEL LIEDTKE,Sexual misconduct,"November 8, 2018"
Google bows to worker pressure on sexual misconduct policy,"KANSAS CITY, Mo. ",https://apnews.com/cee0e8a5338e4b51b3cdcae9301ec479,By RAPHAEL SATTER,AP Top News,"November 8, 2018"
"In online ruse, fake journalists tried to hack Saudi critic",DENVER ,https://apnews.com/a051f54b8ae94790b414b2e76aa95ca2,By SUMMER BALLENTINE,AP Top News,"November 8, 2018"
"Missouri diocese abuse inquiry names 33 priests, brothers","Yet not a penny of those federal funds can be used to fight the actual problem: investigating or resolving more than 800 open cases, ...",https://apnews.com/04b190b6a8c94fa19751522618813a95,,AP Top News,"November 8, 2018"
"The Latest: WH video appears manipulated, producer says","On the East Coast, West Coast and in heartland states between them, LGBT candidates scored a raft of notable midterm election victories — winning two governorships, at least nine seats in Congress, and their first-ever legislative seats in Indiana, Kansas and Nebraska.",https://apnews.com/242205f7c1cf43f3a2556ef75d4c3492,By MARTHA MENDOZA AND GARANCE BURKE,AP Top News,"November 8, 2018"
Immigrant advocates slam video hearings for detained kids,The head of the ...,https://apnews.com/36e29b7be4294d3db9e0be7a5d6729db,By MICHAEL BALSAMO and MICHAEL R. SISAK,AP Top News,"November 8, 2018"
Former NY attorney general won’t face abuse charges,WASHINGTON ,https://apnews.com/84bc4ae43f774792a42a0eee110a424e,,AP Top News,"November 8, 2018"
"Stephen Hawking’s wheelchair sells for $393,000 at auction",So the loyalty-loving Trump on Wednesday dumped Jeff Sessions from the helm of the ...,https://apnews.com/bd36a346a89b4b98b0bf0103ffcd8723,By KATHY GANNON,Pakistan,"November 8, 2018"
Woman freed in blasphemy case still in hiding in Pakistan,DETROIT ,https://apnews.com/39b027dfcf5d4705a0cd1bdb7f421b7a,By ALBERT AJI and BASSEM MROUE,AP Top News,"November 8, 2018"
Syria says military freed 19 hostages held by IS since July,"Denholm, who has been a ...",https://apnews.com/c60420ba486b4b5fa63eb22b0a8aed8b,By MARK KENNEDY,Music,"November 8, 2018"
Son of Beatles’ producer dives into the messy ‘White Album’,ATLANTA ,https://apnews.com/0f44e8f4a9ec4322bfd0179ea9719422,By JILL LAWLESS,AP Top News,"November 8, 2018"
"Woman who spent $21M at Harrods bailed, fights extradition",12:25 p.m.,https://apnews.com/51121217c5b74d6d8be4f4fe1684f6d6,By CATHERINE LUCEY and MATTHEW DALY,AP Top News,"November 8, 2018"
"Trump, Pelosi talk about getting along - until they don’t",Stacey Abrams’ campaign says it will continue to fight to get all outstanding votes counted in the Georgia governor’s race and won’t accept former Secretary of State Brian Kemp’s declaration of ...,https://apnews.com/99d554d996824ad49bc724802987c32e,By TAMI ABDOLLAH and STEPHEN BRAUN,AP Top News,"November 8, 2018"
Newly empowered Dems take aim at Trump business conflicts,"VRIGNE-MEUSE, France ",https://apnews.com/a211dd90113847a59c5c01487035ee72,By DAVID BAUDER,AP Top News,"November 8, 2018"
White House bans CNN reporter after confrontation with Trump,"His tiny plot is almost on the front line where the guns finally fell silent at 11 a.m. on the 11th day of the 11th month in 1918, after a four-year war that had already killed millions.",https://apnews.com/cfaa16f6a86349bebc16e0633d6214dd,By COLLEEN LONG and MICHAEL BALSAMO,AP Top News,"November 8, 2018"
Cybersecurity officials start focusing on the 2020 elections,A simple white ...,https://apnews.com/458c9358c8074197b90432361aa651f4,By MATT O'BRIEN,Wildlife,"November 8, 2018"
Live-streaming a marshland for fun - and science,"WALLKILL, N.Y. ",https://apnews.com/4e2d29e12ebe4fc7a2e197ff0ed3be9c,By GEOFF MULVIHILL and RICARDO ALONSO-ZALDIVAR,AP Top News,"November 8, 2018"
Obama’s health insurance overhaul a winner in midterms,Rockefeller Center’s publicist says the 72-foot-tall ,https://apnews.com/81e226332da04ba0bd1cccc1311eb422,,AP Top News,"November 8, 2018"
"In Honduras, most returnees from caravan hope to try again",Bishop W. ...,https://apnews.com/222fd1571d744aec903604542eb11b70,By MARY CLARE JALONICK,AP Top News,"November 7, 2018"
The Latest: Hundreds gather at vigil after mass shooting,6:15 p.m.,https://apnews.com/4751ffc09abd4030a551e0a9f4cc796e,By ERIC TALMADGE,Mountains,"November 9, 2018"
Trump triggers massive midterm turnout,"Kemp made his announcement in the governor’s office of the Georgia Capitol, standing beside the man he plans ...",https://apnews.com/5cb91423ce954e1d8520eba25fc9262a,By MARK SHERMAN,Ruth Bader Ginsburg,"November 8, 2018"
